timestamp,converged,total_load_kw,total_losses_kw,total_bdwpt_kw,bdwpt_charging_kw,bdwpt_discharging_kw,voltage_bus_650,voltage_bus_632,voltage_bus_670,voltage_bus_671,voltage_bus_680,voltage_bus_633,voltage_bus_645,voltage_bus_646,voltage_bus_692,voltage_bus_675,voltage_bus_684,voltage_bus_611,voltage_bus_652,voltage_bus_634,bdwpt_node_632_kw,bdwpt_node_633_kw,bdwpt_node_634_kw,bdwpt_node_645_kw,bdwpt_node_646_kw,bdwpt_node_671_kw,bdwpt_node_675_kw,bdwpt_node_680_kw,vehicles_G2V,vehicles_V2G,vehicles_idle,net_load
2024-01-01 00:00:00,1,-625.1166548082887,6.770322305396599,99.73383706379812,99.73383706379812,0.0,0.9998191048797183,0.9997853268140062,0.9996571199257153,0.9911360177913089,0.9886169407547375,0.9820158953759993,0.98826344211486,0.9857554594939898,0.9791491860103889,0.9825425810532957,0.9800570298700693,0.9734404229036525,0.9824023378457755,0.9799162942715567,0.0,23.74569293656372,0.0,39.57206284834464,0.0,17.88579749037516,0.0,18.53028378851459,5,0,0,-724.8504918720868
2024-01-01 00:15:00,1,-613.6165196953506,6.57160942868652,86.49330480297681,86.49330480297681,0.0,0.9998214895652501,0.9997891937128274,0.9996612239037791,0.991240566672846,0.988840066949248,0.9822356368683676,0.9883970723260308,0.9860076157366543,0.9793981266833799,0.9827337497794993,0.9803666122033822,0.9737471174898679,0.9826148208280586,0.9802472813767386,0.0,21.49303233432274,0.0,34.11163209816722,0.0,15.17098894272893,0.0,15.717651427757918,5,0,0,-700.1098244983274
2024-01-01 00:30:00,1,-603.649902459294,6.402827889121849,75.05892869904544,75.05892869904544,0.0,0.9998235636913764,0.9997925405770748,0.9996647776782336,0.9913316781376397,0.9890331836636881,0.9824259698549194,0.9885130926806731,0.9862255435502908,0.9796134592597702,0.98289906223376,0.9806336280691832,0.9740119058374247,0.9827982151137464,0.9805324517877175,0.0,19.454072793678286,0.0,29.404669876829203,0.0,12.868249549636147,0.0,13.3319364789018,5,0,0,-678.7088311583394
2024-01-01 00:45:00,1,-555.5780074525273,5.385781737492029,-58.3720786924185,17.608541334456575,75.98062002687507,0.9998422520708349,0.9998213755129398,0.9996949678922477,0.9921327006711643,0.99058193276362,0.9839879340759721,0.9896034543476482,0.9880628709076203,0.9814663199386273,0.9845657483599604,0.9830457224563471,0.9764441312550765,0.984677501626774,0.9831573359932368,0.0,17.608541334456575,0.0,-15.980620026875071,0.0,-30.0,0.0,-30.0,2,3,0,-497.20592876010886
2024-01-01 01:00:00,1,-589.1073951929384,6.172899681604149,37.823894181678895,50.766502289053506,12.942608107374614,0.9998223425664159,0.9998009250919024,0.9996745460428681,0.9911378124171049,0.9895636295964824,0.9829618625325856,0.9882765908886652,0.98671228562931,0.9801047169391562,0.9825782489107261,0.9810338935614021,0.9744148299154289,0.9824449589260612,0.980900282512237,0.0,15.938088194469064,0.0,-12.942608107374614,0.0,17.21755410854116,0.0,17.610859986043284,4,1,0,-626.9312893746173
2024-01-01 01:15:00,1,-604.0519842296449,6.4460274328010545,76.48620826098754,76.48620826098754,0.0,0.999823999617505,0.9997921602986231,0.999664256060212,0.9913674830783956,0.9890022518107692,0.9823972063478926,0.988531575269874,0.9861773076912413,0.9795672979585253,0.9828832665585554,0.9805511559981318,0.9739313265906316,0.9827702628644255,0.9804377749609932,0.0,14.42610438137769,0.0,32.51814549581055,0.0,14.604175359923305,0.0,14.937783023875998,5,0,0,-680.5381924906324
2024-01-01 01:30:00,1,-551.0023080168704,5.341425165349871,-61.58615434903517,13.05755653269789,74.64371088173306,0.9998435710804828,0.9998225172226743,0.9996960993877121,0.9922041337272267,0.9906441107500727,0.9840476789867293,0.989675044276282,0.9881251958403197,0.9815262115643182,0.9846376486522225,0.9831083378315634,0.9765043129262088,0.9847493945204902,0.9832199448793287,0.0,13.05755653269789,0.0,-14.643710881733055,0.0,-30.0,0.0,-30.0,2,3,0,-489.41615366783526
2024-01-01 01:45:00,1,-597.1449699882182,6.379249128129079,39.304612963988106,69.3046129639881,30.0,0.9998306209246659,0.999799033007233,0.9996711653375516,0.9916870975796868,0.9893408633753084,0.9827361435432308,0.9888104922374061,0.9864750508068993,0.9798649041204907,0.9830816722984446,0.9807680499056468,0.9741471717777062,0.9829381607551767,0.9806240628548237,0.0,-30.0,0.0,31.6416598180659,0.0,18.689991179766878,0.0,18.972961966155324,4,1,0,-636.4495829522064
2024-01-01 02:00:00,1,-586.0662661858555,6.115387126649739,55.78046079766874,69.9156814193629,14.135220621694168,0.999823262746036,0.9998020328059007,0.999675651051691,0.9911855232868115,0.9896204430210158,0.9830208796922224,0.988338965901331,0.9867838509039083,0.9801786002795665,0.9826696314125097,0.9811346407429072,0.974518119380363,0.9825478316791467,0.9810125496121332,0.0,15.757913072236462,22.21151344656742,-14.135220621694168,0.0,15.853117518552265,0.0,16.093137382006752,5,1,0,-641.8467269835243
2024-01-01 02:15:00,1,-600.2669689829247,6.377575540176417,92.14016409968609,92.14016409968609,0.0,0.9998248094561072,0.9997934310770169,0.9996656012359174,0.9914035762186438,0.9890752512943461,0.9824691936074638,0.9885805611298516,0.9862631796465352,0.979652264798419,0.9829577648304495,0.9806624963471577,0.9740419714817095,0.9828545154509492,0.9805589064537423,0.0,14.263021765160458,19.963919823998097,30.815952728803378,0.0,13.446840752343437,0.0,13.650429029380723,6,0,0,-692.4071330826108
